,Audio,RT_VS,Sound_Onset,RT_TO,Acc_VS,Acc_DT,Load,Trial_Type,Sound_Hz
237,Normal,NaN,None,NaN,999,999,low,No Target,None
238,Normal,NaN,None,0.687,666,666,low,No Target,None
239,Normal,NaN,None,NaN,999,999,low,No Target,None
240,Normal,NaN,None,NaN,999,999,high,No Target,None
241,Normal,NaN,None,NaN,999,999,high,No Target,None
242,Normal,NaN,None,NaN,999,999,high,No Target,None
243,Normal,0.9319999999999999,None,NaN,1,999,high,Target Present,None
244,Normal,NaN,None,NaN,999,999,high,No Target,None
245,Normal,NaN,None,NaN,999,999,high,No Target,None
246,Critical,NaN,0.555,0.6449999999999999,999,1,high,No Target,tone1
247,Normal,NaN,None,NaN,999,999,high,No Target,None
248,Normal,NaN,None,NaN,999,999,high,No Target,None
249,Normal,1.596,None,NaN,1,999,high,Target Present,None
250,Normal,NaN,None,NaN,999,999,high,No Target,None
251,Normal,NaN,None,NaN,999,999,high,No Target,None
252,Critical,NaN,0.563,0.8270000000000002,999,1,high,No Target,tone2
253,Normal,NaN,None,NaN,999,999,high,No Target,None
254,Normal,NaN,None,NaN,999,999,high,No Target,None
255,Normal,NaN,None,NaN,999,999,high,No Target,None
256,Critical,NaN,0.584,0.43000000000000005,999,1,high,No Target,tone4
257,Normal,NaN,None,NaN,999,999,high,No Target,None
258,Normal,NaN,None,NaN,999,999,high,No Target,None
259,Critical,1.475,0.649,0.514,999,999,high,Target Absent,tone4
260,Normal,NaN,None,NaN,999,999,high,No Target,None
261,Normal,NaN,None,NaN,999,999,high,No Target,None
262,Normal,NaN,None,NaN,999,999,high,No Target,None
263,Normal,0.865,None,NaN,1,999,high,Target Absent,None
264,Normal,NaN,None,NaN,999,999,high,No Target,None
265,Normal,NaN,None,NaN,999,999,high,No Target,None
266,Critical,NaN,0.846,0.594,999,1,high,No Target,tone2
267,Normal,NaN,None,NaN,999,999,high,No Target,None
268,Normal,NaN,None,NaN,999,999,high,No Target,None
269,Normal,1.1800000000000002,None,NaN,1,999,high,Target Absent,None
270,Normal,NaN,None,NaN,999,999,high,No Target,None
271,Normal,NaN,None,NaN,999,999,high,No Target,None
272,Normal,NaN,None,NaN,999,999,high,No Target,None
273,Normal,NaN,None,NaN,999,999,high,No Target,None
274,Critical,NaN,0.29,0.603,999,1,high,No Target,tone4
275,Normal,NaN,None,NaN,999,999,high,No Target,None
276,Normal,NaN,None,NaN,999,999,high,No Target,None
277,Normal,NaN,None,0.127,666,666,high,No Target,None
278,Normal,NaN,None,NaN,999,999,high,No Target,None
279,Normal,NaN,None,NaN,999,999,high,No Target,None
280,Normal,1.194,None,NaN,0,999,high,Target Present,None
281,Normal,NaN,None,NaN,999,999,high,No Target,None
282,Normal,NaN,None,NaN,999,999,high,No Target,None
283,Normal,NaN,None,NaN,999,999,high,No Target,None
284,Critical,NaN,0.358,0.707,999,1,high,No Target,tone3
285,Normal,NaN,None,NaN,999,999,high,No Target,None
286,Normal,NaN,None,NaN,999,999,high,No Target,None
287,Critical,NaN,0.374,0.519,999,1,high,No Target,tone1
288,Normal,NaN,None,NaN,999,999,high,No Target,None
289,Normal,NaN,None,NaN,999,999,high,No Target,None
290,Normal,NaN,None,NaN,999,999,high,No Target,None
