,Load,Trial_Type,Audio,RT_VS,Sound_Onset,Sound_Hz,RT_TO,Acc_VS,Acc_DT
209,low,No Target,Normal,NaN,None,None,NaN,999,0
210,low,No Target,Normal,NaN,None,None,NaN,999,0
211,low,No Target,Normal,NaN,None,None,NaN,999,0
212,low,No Target,Normal,NaN,None,None,NaN,999,0
213,low,No Target,Normal,NaN,None,None,NaN,999,0
214,low,No Target,Normal,NaN,None,None,NaN,999,0
215,low,No Target,Normal,NaN,None,None,NaN,999,0
216,low,No Target,Normal,NaN,None,None,NaN,999,0
217,low,No Target,Critical,NaN,0.809,tone4,0.483,999,1
218,low,No Target,Normal,NaN,None,None,NaN,999,0
219,low,No Target,Normal,NaN,None,None,NaN,999,0
220,low,Target Absent,Normal,0.6479999999999999,None,None,NaN,1,0
221,low,No Target,Normal,NaN,None,None,NaN,999,0
222,low,No Target,Normal,NaN,None,None,NaN,999,0
